CustomerID;Value;Frequency;Recency;Country
12347;308.34;7;2;Other
12348;201.36;1;358;Other
12349;178.57;1;18;Other
12350;25.2;1;310;Other
12352;185.65;5;80;Other
12353;39.8;1;204;Other
12354;55.8;1;232;Other
12355;17.7;1;214;Other
12356;150.9;2;245;Other
12357;557.28;1;33;Other
12359;686.2;5;7;Other
12360;175.58;3;52;Other
12361;16.5;1;287;Other
12362;563.47;10;3;Other
12363;47.4;2;109;Other
12364;187.7;3;7;Other
12365;12.5;1;291;Other
12367;9.9;1;4;Other
12370;269.25;3;51;Other
12371;524.04;2;44;Other
12372;177;3;71;Other
12373;39;1;311;Other
12374;184.65;1;25;Other
12375;60.8;2;10;Other
12377;139.14;2;315;Other
12378;440.42;1;129;Other
12379;63.3;2;81;Other
12380;300.65;4;21;Other
12381;253.05;4;4;Other
12383;189.28;4;238;Other
12384;58.89;3;28;Other
12386;101.4;1;366;Other
12388;404.26;5;75;Other
12390;65.7;1;79;Other
12391;97.59;1;21;Other
12393;220;3;72;Other
12394;152.6;2;63;Other
12395;286.46;10;19;Other
12397;225.36;2;35;Other
12398;161.72;1;45;Other
12399;15;1;213;Other
12401;25.5;1;303;Other
12402;54.9;1;323;Other
12405;200.25;1;148;Other
12406;637.87;2;22;Other
12407;204.02;4;134;Other
12408;334.55;5;32;Other
12409;1485.84;2;78;Other
12410;66.6;1;308;Other
12412;282.06;3;74;Other
12413;18;1;66;Other
12414;19.8;1;217;Other
12415;13254.5;16;24;Other
12417;461.68;9;3;Other
12418;50.46;1;112;Other
12420;43.77;1;63;Other
12421;82.25;3;15;Other
12422;66.55;2;168;Other
12423;338.18;7;0;Other
12424;118;1;162;Other
12425;55.6;1;78;Other
12426;17.7;1;194;Other
12427;-25.38;2;11;Other
12428;906.47;8;25;Other
12429;290.1;3;172;Other
12430;76.56;1;43;Other
12431;461.17;11;60;Other
12432;654.78;3;42;Other
12433;1450.09;6;0;Other
12434;133.76;2;84;Other
12435;888.3;2;79;Other
12436;13.2;1;99;Other
12437;518.5;11;9;Other
12438;334.9;2;14;Other
12441;50.7;1;366;Other
12444;546.6;3;21;Other
12445;17.4;1;22;Other
12446;70.4;1;57;Other
12447;35.4;1;243;Other
12448;7.75;1;44;Other
12449;300.76;4;22;Other
12451;927.1;6;10;Other
12452;30.28;2;16;Other
12453;59.7;1;134;Other
12454;-809.12;1;53;Other
12455;296.6;4;73;Other
12456;530.56;3;44;Other
12457;151.05;4;66;Other
12458;143.76;2;71;Other
12461;132.15;1;154;Other
12462;75.73;3;2;Other
12463;109.22;5;46;Other
12464;117.3;4;10;Other
12465;81.6;2;17;Other
12468;118.45;2;187;Other
12471;2227.61;23;2;Other
12472;628.15;9;31;Other
12473;302.7;4;53;Other
12474;849.93;15;17;Other
12475;75.9;1;53;Other
12476;847.4;12;1;Other
12477;1732.81;6;22;Other
12478;50.64;1;3;Other
12479;91.55;2;4;Other
12480;271.4;4;28;Other
12481;421.8;9;22;Other
12483;405.38;4;17;Other
12484;502.89;4;35;Other
12488;171.2;3;9;Other
12489;48.75;1;336;Other
12490;699.94;10;5;Other
12491;44.5;1;38;Other
12492;38.04;1;105;Other
12493;59.08;2;165;Other
12494;98.53;6;15;Other
12497;105;1;81;Other
12500;771.39;7;23;Other
12501;330.79;2;315;Other
12502;602.1;5;95;Other
12504;102;3;18;Other
12507;193.5;1;134;Other
12508;10.25;1;29;Other
12510;46.4;1;325;Other
12512;21.4;1;66;Other
12513;61.8;1;112;Other
12514;15;1;267;Other
12516;250.5;2;77;Other
12517;315.15;4;28;Other
12518;264.28;5;0;Other
12519;17.7;1;63;Other
12520;335.56;6;79;Other
12521;109.72;1;142;Other
12522;14.85;1;51;Other
12523;236.76;8;1;Other
12524;223.12;6;63;Other
12526;50.1;3;0;Other
12527;23.44;2;81;Other
12528;246.68;5;9;Other
12530;104.12;3;59;Other
12531;5.9;1;14;Other
12532;47.7;1;30;Other
12534;85.5;1;130;Other
12535;119.3;2;91;Other
12536;567.71;2;7;Other
12538;15.9;1;29;Other
12539;645.7;4;22;Other
12540;2017.12;15;19;Other
12541;173.41;3;29;Other
12544;35.88;1;36;Other
12545;96.95;2;75;Other
12546;91.5;1;46;Other
12548;17.4;1;166;Other
12550;36.1;1;79;Other
12551;16.5;1;357;Other
12552;10.5;1;39;Other
12553;392.15;9;9;Other
12556;43.02;2;50;Other
12557;848.36;4;158;Other
12558;24.96;2;1;Other
12559;87.6;1;319;Other
12560;433.79;4;5;Other
12561;44.3;1;302;Other
12562;453.18;7;8;Other
12564;93.6;1;261;Other
12566;159.18;1;86;Other
12567;1447.68;10;22;Other
12569;478.3;18;2;Other
12571;86;2;39;Other
12572;97.96;2;8;Other
12573;22.95;1;227;Other
12576;152.5;4;95;Other
12577;92.53;3;35;Other
12578;350.5;2;21;Other
12579;83.97;1;78;Other
12580;71.1;1;246;Other
12581;18;1;39;Other
12582;27.12;1;288;Other
12583;957.23;15;2;Other
12584;356.5;12;3;Other
12585;85;2;234;Other
12587;83.2;1;7;Other
12589;101.94;2;28;Other
12590;1665.3;1;211;Other
12591;78.85;1;317;Other
12592;73.4;1;92;Other
12594;250;6;46;Other
12596;20.4;1;51;Other
12597;302.98;4;32;Other
12598;408.48;7;9;Other
12599;43.2;4;29;Other
12600;311.01;6;28;Other
12601;224.99;5;189;Other
12602;33.8;1;58;Other
12607;-17.75;2;58;Other
12609;178.32;3;78;Other
12610;471.1;6;22;Other
12611;165.14;1;52;Other
12612;89.7;1;74;Other
12613;282.12;5;31;Other
12615;381.46;3;2;Other
12616;43.8;3;95;Other
12617;29.95;1;29;Other
12618;40;1;21;Other
12619;469.76;5;16;Other
12620;119.02;3;14;Other
12621;1300.14;16;1;Other
12623;25.5;1;276;Other
12624;62.04;2;106;Other
12625;116.04;2;211;Other
12626;717.74;10;23;Other
12627;347.2;6;10;Other
12628;160.09;3;4;Other
12630;105.98;2;9;Other
12631;230.74;1;57;Other
12633;241.32;4;58;Other
12635;75.32;2;89;Other
12637;608.65;7;67;Other
12638;88.74;1;33;Other
12640;48.84;1;81;Other
12641;10.5;1;115;Other
12642;108.3;3;25;Other
12643;668.4;3;128;Other
12644;88.2;1;129;Other
12645;100.4;4;33;Other
12646;97.7;2;4;Other
12647;401.15;10;22;Other
12648;51.45;1;154;Other
12649;157.98;3;107;Other
12650;112.5;1;3;Other
12651;17.85;1;334;Other
12652;25.2;1;331;Other
12653;268.4;2;148;Other
12654;73.35;4;37;Other
12656;384.4;5;17;Other
12657;258.31;3;11;Other
12658;142.55;1;18;Other
12660;32.85;1;11;Other
12662;394.61;10;0;Other
12664;530.8;3;58;Other
12667;17.7;1;58;Other
12668;236.91;6;7;Other
12669;174.26;2;150;Other
12670;552;5;10;Other
12672;40.35;1;329;Other
12673;40.55;2;5;Other
12674;254.78;4;38;Other
12676;100;2;260;Other
12678;2271.36;9;42;Other
12679;226.66;3;58;Other
12680;108.6;4;0;Other
12681;1843.77;20;14;Other
12682;1222.64;22;3;Other
12683;1030.33;15;4;Other
12684;361.52;6;7;Other
12685;256.96;6;28;Other
12688;391.19;1;113;Other
12689;51.8;2;25;Other
12690;36.3;1;205;Other
12691;109.6;1;58;Other
12693;76.9;4;120;Other
12694;194.43;2;70;Other
12695;59.16;3;66;Other
12697;71.28;3;28;Other
12700;429.63;5;7;Other
12701;83.26;2;79;Other
12702;59.9;1;19;Other
12703;34.8;1;71;Other
12704;397.71;6;22;Other
12705;784.3;9;15;Other
12707;110.1;1;291;Other
12708;257.94;10;60;Other
12709;978.56;14;15;Other
12710;182.3;2;96;Other
12712;569;8;28;Other
12713;138.82;1;0;Other
12714;344.85;5;9;Other
12715;20.8;1;106;Other
12716;117.9;1;133;Other
12717;210.45;2;151;Other
12718;29.4;1;71;Other
12719;102.25;2;5;Other
12720;691.48;17;2;Other
12721;232.12;5;31;Other
12722;156.63;3;85;Other
12723;103.58;3;16;Other
12724;38.8;2;81;Other
12725;73.25;1;371;Other
12726;364.62;6;28;Other
12727;347.92;6;10;Other
12728;48;2;71;Other
12729;71.9;1;113;Other
12731;2435.35;11;23;Other
12732;17.7;1;179;Other
12734;46.8;1;352;Other
12735;54;1;315;Other
12738;18;1;372;Other
12740;68.2;1;63;Other
12743;90.43;2;134;Other
12744;1759.6;6;51;Other
12747;227.53;5;2;United Kingdom
12748;1809.79;144;0;United Kingdom
12749;676.54;5;3;United Kingdom
12750;50.9;1;128;Other
12752;94.56;1;81;Other
12753;3174.92;9;3;Other
12754;6.3;2;277;Other
12757;-1359.65;8;28;Other
12758;313.2;2;116;Other
12759;189.1;3;52;Other
